Position X,Position Y,Position Z,Unit,TimePointID,TrackID
35.1828893774,22.6203332326,99.2475895682,um,1,1
33.4042136643,22.7617217848,98.481612933,um,2,1
33.7332857652,22.4420284567,98.088614855,um,3,1
35.8788993317,23.6229174272,99.5184778638,um,4,1
40.2300619657,26.3124861964,97.7756943287,um,10,2
42.6028714152,23.6750216015,96.3215718534,um,11,2
42.6413694483,23.7549577436,96.2912889086,um,12,2
42.8924047048,24.2689096433,95.1174835267,um,13,2
44.7825739984,26.3943967389,95.9569070545,um,14,2
47.0235275941,27.6688722636,97.8725198182,um,15,2
44.4568116559,28.1426453605,99.3531564639,um,26,3
46.9198139716,26.0340560763,96.4387185507,um,27,3
47.7810730148,25.9997510178,96.2701672349,um,28,3
47.9434468061,23.1991583886,95.3288991346,um,29,3
49.2444443072,21.923137454,94.8173085567,um,30,3
52.3300913967,23.5494236421,95.2250217839,um,31,3
52.375593712,23.5075926222,95.2721967932,um,32,3
53.871377424,22.5069578147,98.421020385,um,33,3
54.3517257712,21.208857392,99.5555821371,um,34,3
42.1772211806,147.5939720033,83.934021711,um,1,4
42.9578101295,147.6491400143,83.5164631585,um,2,4
43.0109892821,147.6077487702,83.5290331732,um,3,4
43.7926519197,147.0779474727,83.2207019618,um,4,4
45.0832550209,146.678073232,82.7098669136,um,5,4
44.9480913529,147.0149409276,82.8724716416,um,6,4
44.7704074629,147.2648641631,82.8194279284,um,7,4
43.6752458558,147.3423420562,81.8711631309,um,8,4
43.3929284172,147.3604211114,81.3042423669,um,9,4
43.4046868202,147.2681539638,80.966538086,um,10,4
44.2900137843,145.9798066535,80.2417093714,um,11,4
44.2226951675,145.9489365511,77.6358737325,um,12,4
44.2232475375,145.9552849999,77.6371349223,um,13,4
42.268666503,149.4872893947,77.733016361,um,14,4
41.6486482698,150.6166458639,77.9503310048,um,15,4
41.5677081523,151.0703214605,77.9492890024,um,16,4
41.8243559359,152.0615964437,77.8537521212,um,17,4
41.8841352655,152.3634770321,77.7763990529,um,18,4
42.7112109736,151.989262723,76.8485347186,um,19,4
42.9174338378,151.591316821,73.4103684345,um,20,4
43.4552825369,151.1876517622,72.025967331,um,21,4
43.6778811858,151.0047347694,72.0967085566,um,22,4
44.9022881829,149.0385683963,72.0454546924,um,23,4
46.7538214717,148.8824111202,71.9185247527,um,24,4
48.0781487597,149.037318232,71.7093366849,um,25,4
48.4541265516,151.2501844515,70.1493800041,um,26,4
47.6657473906,152.3908993565,68.8478042194,um,27,4
46.8615176834,152.9421122078,68.2209551194,um,28,4
44.1787852535,151.097051402,65.3655898743,um,29,4
43.4684522981,150.6331532756,64.6722849041,um,30,4
43.3395224029,150.5362491417,64.5495662638,um,31,4
42.3952217155,148.7753219957,64.3243418951,um,32,4
42.1137852936,149.3488409278,64.9262506909,um,33,4
42.087379922,149.3892674849,64.8815795782,um,34,4
42.1612490326,149.6744734511,64.748352768,um,35,4
43.1164291906,151.1610999793,64.1141823989,um,36,4
43.9862891988,152.5013974589,64.2744859767,um,37,4
46.9017148196,151.8601206915,64.7530447041,um,38,4
48.0099276255,152.1524635802,63.2830247563,um,39,4
48.3449376784,151.9863249672,62.9162457559,um,40,4
48.952744564,151.013879824,61.7152509724,um,41,4
49.8382191214,150.7418494753,60.8095987947,um,42,4
48.5569095694,150.363938199,59.7641560763,um,43,4
47.3950920009,150.5631973925,59.679584345,um,44,4
46.5947165054,149.9012233677,59.9328164462,um,45,4
46.257011145,149.2532002432,60.2544623577,um,46,4
46.3165155013,149.249986623,60.2166165417,um,47,4
47.6058978564,149.1200327412,58.4099481594,um,48,4
46.8911335234,148.980677571,58.3564657517,um,49,4
46.9707776737,149.3745199472,58.235170422,um,50,4
47.3251687315,153.0410107636,57.5420937933,um,51,4
50.3953139823,152.5885204693,55.5229171043,um,52,4
50.5038428051,152.172799498,54.4245780109,um,53,4
50.5135557963,152.1485270814,54.3162093677,um,54,4
49.3737982022,151.6236310913,51.3725535485,um,55,4
49.3854585698,150.0479361117,50.3935507424,um,56,4
49.7485784862,148.9075670132,50.9217924067,um,57,4
50.8432472341,148.7571209228,51.4673082814,um,58,4
51.143503565,147.988682817,51.3834790985,um,59,4
52.2165548502,145.3548523329,50.6573234165,um,60,4
52.1580996245,145.4772064735,50.6989309289,um,61,4
53.6684841139,146.8487843163,50.4263119969,um,62,4
279.8237751593,13.4360196689,43.9950505271,um,1,5
279.756495783,13.4418327064,43.8213185825,um,2,5
278.7900785295,13.5353819325,43.3149877128,um,3,5
277.0342255997,14.4384841224,44.1592584859,um,4,5
276.5416543971,15.7924918103,43.9831847143,um,5,5
276.7827836323,16.9410921169,43.4288961464,um,6,5
278.1709631394,18.8351328763,42.0184019021,um,7,5
279.6579831342,20.4986747591,41.7185917313,um,8,5
279.7050174089,20.5777275218,41.7026868286,um,9,5
