Position X,Position Y,Position Z,Unit,Category,Collection,TimePointID,TrackID,ID
390.51667333639574,260.6328439142987,49.06316990502748,um,Spot,Position,9,1,xxx
326.54250170350105,297.85214782380837,95.83112447049923,um,Spot,Position,10,1,xxx
327.3195193822391,297.58069936713315,94.8030395478609,um,Spot,Position,11,1,xxx
328.15909373981407,297.1666320485942,95.40779259373873,um,Spot,Position,12,1,xxx
320.6997723869206,317.3890048337002,90.96469916171802,um,Spot,Position,13,1,xxx
314.84766099727807,333.20042024811414,87.47317509341407,um,Spot,Position,14,1,xxx
314.89727174312037,333.36941362256084,87.5106804791637,um,Spot,Position,15,1,xxx
314.69453152235303,333.68208456864926,87.5849419186368,um,Spot,Position,16,1,xxx
314.84493352373136,334.8735988937762,84.64584838247707,um,Spot,Position,17,1,xxx
319.98042104263135,330.82339755781317,81.27401087720611,um,Spot,Position,18,1,xxx
320.78483429781966,331.9738299822267,79.31135007300418,um,Spot,Position,19,1,xxx
321.8070211842901,334.162143326448,78.56168183561869,um,Spot,Position,20,1,xxx
239.72578322395486,366.7341981484339,74.71239016752385,um,Spot,Position,1,2,xxx
239.78619368394035,366.5054712399361,74.58442359504839,um,Spot,Position,2,2,xxx
238.7390783936744,368.18053441805404,75.03890172049304,um,Spot,Position,3,2,xxx
238.69356635003916,368.2604292953352,75.03793625182458,um,Spot,Position,4,2,xxx
238.35761180892754,368.93133639733105,73.45124122604498,um,Spot,Position,5,2,xxx
239.06907066246387,371.427732548685,73.94375343719658,um,Spot,Position,6,2,xxx
238.06143446944478,372.2880102199864,75.18020976461618,um,Spot,Position,7,2,xxx
237.14540156670014,373.0700808302604,76.30426097136127,um,Spot,Position,8,2,xxx
237.8388562434549,371.73615332048064,76.38840280998754,um,Spot,Position,9,2,xxx
241.09188898632712,365.27713079670525,73.92040275720565,um,Spot,Position,10,2,xxx
240.37264543129928,365.0903129234903,74.81356228128429,um,Spot,Position,11,2,xxx
238.1764919766244,367.33803718379045,76.92116926027131,um,Spot,Position,12,2,xxx
237.8236195454245,366.9385902283417,77.16051881499969,um,Spot,Position,13,2,xxx
237.68582650387185,368.42888754219666,77.15886599236815,um,Spot,Position,14,2,xxx
237.5480334623192,369.91918485605163,77.15721316973661,um,Spot,Position,15,2,xxx
239.35431954574943,370.5793188295273,76.472004589023,um,Spot,Position,16,2,xxx
235.31886541693527,374.1148059785665,75.08130589040991,um,Spot,Position,17,2,xxx
229.95519667801582,371.86825760662884,73.08235900423387,um,Spot,Position,18,2,xxx
224.0700761842898,370.9091026279396,73.56876842493209,um,Spot,Position,19,2,xxx
218.5923118837952,370.9965920555472,76.087553521566,um,Spot,Position,20,2,xxx
217.54620936424487,371.4852268330774,76.07349377605323,um,Spot,Position,21,2,xxx
216.2039282981527,371.71372429136443,75.19630825215103,um,Spot,Position,22,2,xxx
213.94281867052618,372.43454913688817,74.3165474410028,um,Spot,Position,23,2,xxx
218.18768030285796,367.46446428915635,73.2969694684185,um,Spot,Position,24,2,xxx
219.82213756465356,370.51035721587186,68.21716086687141,um,Spot,Position,25,2,xxx
217.2802509906684,370.3293027734684,70.68513988476064,um,Spot,Position,26,2,xxx
215.89526131537843,370.06428333709147,72.17912818085303,um,Spot,Position,27,2,xxx
215.30935870668597,371.02309189712975,70.59344510172771,um,Spot,Position,28,2,xxx
215.93658096205613,371.51554103138443,74.03000746492275,um,Spot,Position,29,2,xxx
216.7643502894052,371.67870815699814,79.49262023155164,um,Spot,Position,30,2,xxx
217.15268763757769,371.47482189473214,82.49952451830991,um,Spot,Position,31,2,xxx
217.14856159563004,371.46532937125676,82.50273400649759,um,Spot,Position,32,2,xxx
216.7079670799696,371.6877948823544,82.7176547272564,um,Spot,Position,33,2,xxx
211.13100907370273,373.7922513210548,86.4173431532951,um,Spot,Position,34,2,xxx
208.81093972139067,374.77130063753185,84.83977382699942,um,Spot,Position,35,2,xxx
210.31169452840268,373.5307583061818,86.69556379767837,um,Spot,Position,36,2,xxx
210.39820501255247,373.78620193234536,88.05087699004726,um,Spot,Position,37,2,xxx
210.29186481900874,373.4430146648337,85.63702416823314,um,Spot,Position,38,2,xxx
210.31794121246955,371.42619560139946,87.61877298861133,um,Spot,Position,39,2,xxx
210.38133074345816,371.20702109529515,87.96124037129225,um,Spot,Position,40,2,xxx
208.96469206291255,374.913592009603,89.3873476843522,um,Spot,Position,41,2,xxx
205.53070210093418,377.6521990148231,91.72271930026994,um,Spot,Position,42,2,xxx
204.25244937822617,378.7942564802884,92.86037969772774,um,Spot,Position,43,2,xxx
204.95817511312345,378.3009126528736,93.52105504345333,um,Spot,Position,44,2,xxx
206.05985093609033,377.42978946746126,94.79735819736949,um,Spot,Position,45,2,xxx
206.2034848332231,377.1601515595484,94.80088503380385,um,Spot,Position,46,2,xxx
202.1854058607378,381.2046989899839,95.92405444966079,um,Spot,Position,47,2,xxx
199.95432648607286,382.84235481421916,95.00410613974809,um,Spot,Position,48,2,xxx
200.31095190767311,381.0250229717539,94.00628503700959,um,Spot,Position,49,2,xxx
200.66757732927337,379.20769112928866,93.00846393427109,um,Spot,Position,50,2,xxx
201.4691447674108,377.87934286314305,92.44171909367905,um,Spot,Position,51,2,xxx
202.2465623093624,377.26551672920687,92.08818815695095,um,Spot,Position,52,2,xxx
204.74653832473808,378.24976920860865,91.69209781728243,um,Spot,Position,53,2,xxx
203.47626926467728,378.46662372566016,90.93111787056476,um,Spot,Position,54,2,xxx
202.18355575563965,378.47452911862234,90.47475327371032,um,Spot,Position,55,2,xxx
202.33369054863192,378.506841716372,90.32292165920353,um,Spot,Position,56,2,xxx
202.4838253416242,378.5391543141216,90.17109004469674,um,Spot,Position,57,2,xxx
201.728924863262,378.47765723690645,91.15051233724999,um,Spot,Position,58,2,xxx
201.39728276513202,379.4592189287689,91.14910662031882,um,Spot,Position,59,2,xxx
201.20954014962174,380.27982988487645,90.62795572769191,um,Spot,Position,60,2,xxx
201.5114801193289,380.3729015298677,90.04607110931869,um,Spot,Position,61,2,xxx
201.03090439014505,380.8737193294272,89.24120640231209,um,Spot,Position,62,2,xxx
6.6133357950778375,61.71193546241811,24.397933128765878,um,Spot,Position,1,3,xxx
308.6495510236584,171.8664499041172,92.2733938259112,um,Spot,Position,1,4,xxx
308.62856511195173,171.7723771042297,92.6751224839945,um,Spot,Position,2,4,xxx
308.5028471337975,171.43365173466273,94.56372670035354,um,Spot,Position,3,4,xxx
308.83880873459884,171.96104867200856,94.06696370916623,um,Spot,Position,4,4,xxx
308.7628511560656,171.50430982744226,93.82738071315777,um,Spot,Position,5,4,xxx
320.1323748400998,187.2209511387994,97.77910857779435,um,Spot,Position,6,4,xxx
320.0580436524782,186.97169645357994,97.73334680514485,um,Spot,Position,7,4,xxx
320.38994736034647,184.45885297248415,99.97567931516504,um,Spot,Position,8,4,xxx
109.00764664632611,85.10745563552798,54.58668527895063,um,Spot,Position,1,5,xxx
109.17455149869848,85.05396995791757,54.604037317025885,um,Spot,Position,2,5,xxx
110.59789109165443,84.66794727356462,54.4960335912471,um,Spot,Position,3,5,xxx
110.8783936535119,84.6364215301257,54.38577141712204,um,Spot,Position,4,5,xxx
110.91924484499093,84.67332759850406,54.31273587221947,um,Spot,Position,5,5,xxx
148.7150212653125,107.11348200110832,48.164408529421,um,Spot,Position,6,5,xxx
177.79077922401774,124.47056994603095,44.96832109974241,um,Spot,Position,7,5,xxx
177.5206802426933,124.87382570613126,46.25691115037746,um,Spot,Position,8,5,xxx
177.81065207397597,126.49729227285012,45.45052696247133,um,Spot,Position,9,5,xxx
176.42767308983133,124.17433017697412,49.25572974867234,um,Spot,Position,10,5,xxx
174.376409431321,119.40524738271687,54.78338899390302,um,Spot,Position,11,5,xxx
174.11320924982084,115.37549156185416,54.90330881096668,um,Spot,Position,12,5,xxx
173.85000906832067,111.34573574099146,55.02322862803034,um,Spot,Position,13,5,xxx
173.55266930677328,109.27608974266192,56.39497031915813,um,Spot,Position,14,5,xxx
173.0902250153464,108.41742011119763,58.2184631674597,um,Spot,Position,15,5,xxx
173.34174307710407,108.80223272785555,58.19338639446485,um,Spot,Position,16,5,xxx
173.38962344319123,108.64211830038157,58.38326305629728,um,Spot,Position,17,5,xxx
176.66471098542755,108.65550383485986,59.398579875780264,um,Spot,Position,18,5,xxx
164.21982363532734,107.69932858233955,61.10598860463576,um,Spot,Position,19,5,xxx
132.46481783719324,105.80415789379049,66.51542576379467,um,Spot,Position,20,5,xxx
134.32825269790922,105.9031748426737,63.45500962040276,um,Spot,Position,21,5,xxx
134.15023303395378,105.34723325616228,58.36904676381894,um,Spot,Position,22,5,xxx
134.15353521217267,105.33905091471965,56.743379734229414,um,Spot,Position,23,5,xxx
134.24302387817843,105.59209594433085,56.84288533795095,um,Spot,Position,24,5,xxx
133.30477843456134,104.62451661721964,57.87122123114409,um,Spot,Position,25,5,xxx
135.4690080219356,104.29881198561958,63.777757964473395,um,Spot,Position,26,5,xxx
138.10845327134413,106.17476230904941,66.4984830274871,um,Spot,Position,27,5,xxx
138.17997505896244,109.40940639522927,75.99383797726676,um,Spot,Position,28,5,xxx
137.47667192636504,106.27264152458527,76.52208766124996,um,Spot,Position,29,5,xxx
137.34535641841694,103.9090121363066,76.57303344618813,um,Spot,Position,30,5,xxx
137.97200627393585,103.12678342233316,77.5700144871472,um,Spot,Position,31,5,xxx
137.94815063852207,103.14575187667647,78.13067190114965,um,Spot,Position,32,5,xxx
137.879279311032,103.14653667611965,78.03902903417351,um,Spot,Position,33,5,xxx
137.45595127225243,100.70212466018212,77.90712409859425,um,Spot,Position,34,5,xxx
136.59919973980294,99.94772142135595,79.16054253746326,um,Spot,Position,35,5,xxx
135.98623806014814,99.88723734067172,79.60670360511459,um,Spot,Position,36,5,xxx
135.7198109069344,100.36978304178221,79.842279014661,um,Spot,Position,37,5,xxx
136.839521859485,103.02444787007163,79.23551179178774,um,Spot,Position,38,5,xxx
137.253167751153,104.74981767723902,78.85301147112521,um,Spot,Position,39,5,xxx
136.49013749571034,104.9953425341754,78.6482833714078,um,Spot,Position,40,5,xxx
137.41902329371834,108.68969606911074,79.06366969168947,um,Spot,Position,41,5,xxx
134.64925329256369,380.2588970364782,82.71904497596474,um,Spot,Position,1,6,xxx
134.9381268870909,380.0142047868303,82.76846660868271,um,Spot,Position,2,6,xxx
137.1213738508992,377.9388082203934,83.31368353081417,um,Spot,Position,3,6,xxx
136.54653578505673,377.4084446587507,83.98798090255846,um,Spot,Position,4,6,xxx
135.90782682300954,376.819151812481,84.73720020449656,um,Spot,Position,5,6,xxx
137.50288457715376,375.88364457935785,83.6331721260226,um,Spot,Position,6,6,xxx
136.67704824383705,375.1528363687096,84.57420006791145,um,Spot,Position,7,6,xxx
154.77624855187835,385.6179743095264,76.66849612485885,um,Spot,Position,8,6,xxx
154.54011688152846,384.90587205544443,78.22089021813227,um,Spot,Position,9,6,xxx
152.7056240878376,392.30573352505587,85.11604820118436,um,Spot,Position,10,6,xxx
152.66996632954618,391.3866824838314,84.16921737784143,um,Spot,Position,11,6,xxx
150.8137509492997,389.7101476484869,86.27251054672747,um,Spot,Position,12,6,xxx
148.78692821411025,387.93632421021755,88.73344945672635,um,Spot,Position,13,6,xxx
148.56558869638823,387.1243840260115,90.35455207796817,um,Spot,Position,14,6,xxx
149.11802770043798,386.7246795221183,91.61572486117124,um,Spot,Position,15,6,xxx
149.47365924994241,386.80360696248715,91.99173045192701,um,Spot,Position,16,6,xxx
